text,star
"Ripped offWe were fetched in off the street by their tout. Looked ok. We ordered food and waited. On our table (and all the other tables), was a non descript 750ml bottle of water. I opened it and the waiter immediately appeared with two glasses.
OPENING THAT BOTTLE COST ME AN UNANOUNCED £3.50 WHICH THE STAFF ADDED TO OUR BILL!
Sneaky! Dishonest! Rip off!
They won't be seeing me again........but I expect they don't really care anyway!
WATCH OUT!",1
ridiculous waitWe waited for one and a half hours while every other table received their food even though we were there before every table. There is no excuse for this. Food was nice when it eventually arrived,1
"Never Again!We are really sorry to hear this. Its very unusual for this type of thing to happen and we can only apologise. I will investigate to find out what happened during that service so that this won't happen again. Thanks for your review and for bringing this to light, Sheba",1
"Worst in U.K not best!!! Avoid at any costMaybe the worst service i had in a long time. Went with a group of 15, the starter took too long to come and they gave the main course with the starters, which i thought to be pathetic really! They rushed us, we couldn't even finish our beers. Will never return!",1
"Con artistsTen things wrong with this place. Firstly we booked 2 weeks in advance but still got told to wait as they tried to rush out the poor old bloke and his wife to make room for our table. The elderly couple were in middle of celebrating their 35th wedding anniversary. This was DISGRACEFUL and DISGUSTING to see.I wouldn't have let this happen but I had payed £50 deposit which they won't pay me back if I was to leave or go elsewhere.
Secondly, you can hear the constant battle among the staff. Staff are rude, loud and mono-syllabic. They don't talk to ya and like to give one word answer. We felt like They didn't want us there.
Third, the atmosphere. Generally all types of restaurants serving cuisines from different part of the world has some sort of music playing in the background but this was an exception. The howling, rumbling and puffing from staff is all the entertainment is on offer.
Fourth, the decor is pretty weird. They have pictures of some Bollywood celebrities. How does that correlate to Curry?
Fifth, Terrible toilets. Very poor hygiene. Toilets are unclean and untidy. There wasn't any toilet roll available. We had to ask several time for toilet roll.
Sixth the noisy tout. The chap touting outside seemed to have failed to bring customers in because we saw a lot of people going in to the restaurant next door. This had made the man angry! Every time he would come inside he would kick chairs and spit out pretty rough swearword.
Seventh, we were rushed to place our order but had to wait 45 minutes for starter to come. The table which came after us got their order before but I think they messed it up too because they left soon as the food were on table.
Eighth, the food. The food was ok. Nothing specIal and not what you'd expect from best in UK. Food needs to be worm and on time.
Ninth, when we booked we were told we get free drinks and 20% discount. However, we weren't given what was promised by the manager and instead they had the balls to charge 10% service which wasn't optional and you had to pay. We are good people and don't like arguing therefore, we decided to pay and leave.
Tenth, I have been to other places in . Every other restaurants had made me feel welcome and service has been always above standard. Although, the quality of the food differ from place to places but they have their own special way to make it up to you so you don't go home unhappy. I think that this restaurant shouldn't exist because it's low standard may be putting other good, genuine and striving restaurants down.",1
"THIS IS A DISGRACE TO INDIAN FOOD, AVOID!We were promised as part of the deal at the door two ""pints"" of beer each, but were given two tiny beers each instead. After complaining three times, we were eventually given (watered-down) pints. The size of the starters was also a joke. The service was rude and slow and they even had the cheek to add a service charge to the bill. The food itself was poor but just about edible. It's been a long time since I've had such a bad experience in a restaurant.",1
"Don't come to this place. Bad food, bad service, bad experience.Went there on Friday 18 November spontaneously as a mate came from New York, one of the staff members was proper rude. I have never been to an Indian restaurant where they charge you for chutney and popperdoms (it's custom to be free). And just to be corrected this is not Indian food, this is Bangladesh food. The portion size is very stingy (4 cubes of chicken in a butter chicken for £12.50!) food is not very authentic and they stopped serving lassi at 9pm. If I had a chance I would have given no stars. I am Indian and I know the difference between good and bad Indian food. I would highly recommended to go somewhere else.",1
"Con merchants.I usually love Indian cusine and I love the atmosphere they create in their restarants. Well this time I have been very unlucky. I have had the worst experience ever. The food was poor, the waiter was incredibly rude and the atmosphere was just aweful.
Do not come here, there are many other restaurants around. Avoid this one.",1
"Awful.We have just got up and left after being conned.

Charming fellow on the street offering such a good deal. Free beer, money off, points to full menu, have what you like.

So in we went full of hope and looking forward to nice food. We were handed the full menu and the dishes sounded great.

Then another person took menus off us and handed us these very limited other menus.

Be warned of these con men. Disgusting antics and so glad we left.

Do not con customers with false offers.",1
"CheatsMSG on everything . Jalfrezi is hot but feels like it's slathered in sugar. Besides bad food , the service is rushed and surly .  is dead for curries ..",1
"Ripped offWe were fetched in off the street by their tout. Looked ok. We ordered food and waited. On our table (and all the other tables), was a non descript 750ml bottle of water. I opened it and the waiter immediately appeared with two glasses.
OPENING THAT BOTTLE COST ME AN UNANOUNCED £3.50 WHICH THE STAFF ADDED TO OUR BILL!
Sneaky! Dishonest! Rip off!
They won't be seeing me again........but I expect they don't really care anyway!
WATCH OUT!",1
ridiculous waitWe waited for one and a half hours while every other table received their food even though we were there before every table. There is no excuse for this. Food was nice when it eventually arrived,1
"Never Again!We are really sorry to hear this. Its very unusual for this type of thing to happen and we can only apologise. I will investigate to find out what happened during that service so that this won't happen again. Thanks for your review and for bringing this to light, Sheba",1
"Worst in U.K not best!!! Avoid at any costMaybe the worst service i had in a long time. Went with a group of 15, the starter took too long to come and they gave the main course with the starters, which i thought to be pathetic really! They rushed us, we couldn't even finish our beers. Will never return!",1
